time,volume,open,high,low,close
2019-02-27 20:06:00,11,111.028,111.043,111.028,111.043
2019-02-27 20:07:00,5,111.041,111.041,111.036,111.040
2019-02-27 20:08:00,4,111.038,111.040,111.036,111.036
2019-02-27 20:09:00,6,111.038,111.041,111.036,111.036
2019-02-27 20:10:00,8,111.034,111.040,111.034,111.040
2019-02-27 20:11:00,4,111.038,111.046,111.038,111.046
2019-02-27 20:12:00,10,111.044,111.044,111.034,111.042
2019-02-27 20:13:00,4,111.044,111.044,111.040,111.042
2019-02-27 20:14:00,9,111.040,111.046,111.040,111.040
2019-02-27 20:15:00,5,111.038,111.042,111.038,111.042
2019-02-27 20:16:00,5,111.045,111.048,111.044,111.044
2019-02-27 20:17:00,2,111.046,111.049,111.046,111.049
2019-02-27 20:18:00,1,111.046,111.046,111.046,111.046
2019-02-27 20:19:00,4,111.044,111.047,111.044,111.047
2019-02-27 20:20:00,6,111.044,111.046,111.044,111.046
2019-02-27 20:21:00,3,111.044,111.044,111.040,111.040
2019-02-27 20:22:00,2,111.038,111.038,111.035,111.035
2019-02-27 20:24:00,4,111.038,111.040,111.037,111.040
2019-02-27 20:26:00,4,111.038,111.038,111.034,111.035
2019-02-27 20:27:00,3,111.032,111.032,111.028,111.028
2019-02-27 20:28:00,17,111.026,111.026,111.012,111.014
2019-02-27 20:29:00,6,111.016,111.019,111.010,111.010
2019-02-27 20:30:00,4,111.012,111.015,111.010,111.010
2019-02-27 20:31:00,6,111.012,111.018,111.012,111.015
2019-02-27 20:34:00,9,111.012,111.016,111.007,111.013
2019-02-27 20:35:00,7,111.011,111.016,111.011,111.016
2019-02-27 20:36:00,4,111.018,111.021,111.018,111.021
2019-02-27 20:37:00,9,111.018,111.018,111.014,111.014
2019-02-27 20:38:00,3,111.016,111.016,111.014,111.016
2019-02-27 20:39:00,2,111.014,111.016,111.014,111.016
2019-02-27 20:40:00,16,111.014,111.016,111.008,111.016
2019-02-27 20:41:00,6,111.014,111.014,111.006,111.006
2019-02-27 20:42:00,5,111.004,111.004,110.998,110.998
2019-02-27 20:43:00,8,111.001,111.009,110.999,111.004
2019-02-27 20:44:00,6,111.002,111.004,110.998,111.004
2019-02-27 20:45:00,7,111.002,111.002,110.992,110.992
2019-02-27 20:46:00,4,110.989,110.994,110.989,110.992
2019-02-27 20:47:00,10,110.994,110.998,110.994,110.998
2019-02-27 20:48:00,5,110.996,110.998,110.993,110.995
2019-02-27 20:49:00,8,110.993,110.998,110.990,110.996
2019-02-27 20:50:00,7,110.998,111.001,110.994,110.994
2019-02-27 20:51:00,16,110.996,110.996,110.984,110.984
2019-02-27 20:52:00,3,110.986,110.992,110.986,110.992
2019-02-27 20:53:00,4,110.990,110.990,110.984,110.986
2019-02-27 20:54:00,11,110.988,110.994,110.986,110.992
2019-02-27 20:55:00,15,110.995,110.998,110.988,110.996
2019-02-27 20:56:00,7,110.998,111.004,110.996,110.999
2019-02-27 20:57:00,6,110.996,110.996,110.991,110.994
2019-02-27 20:58:00,7,110.996,110.996,110.988,110.992
2019-02-27 20:59:00,15,110.990,110.998,110.990,110.990
2019-02-27 21:00:00,19,110.992,111.013,110.988,111.013
2019-02-27 21:01:00,8,111.010,111.010,110.999,111.004
2019-02-27 21:02:00,2,111.006,111.006,111.004,111.004
2019-02-27 21:03:00,2,111.001,111.004,111.001,111.004
2019-02-27 21:04:00,2,111.002,111.002,110.999,110.999
2019-02-27 21:05:00,4,110.996,110.998,110.996,110.998
2019-02-27 21:06:00,3,110.996,110.999,110.996,110.996
2019-02-27 21:07:00,3,110.998,111.004,110.998,111.004
2019-02-27 21:12:00,1,111.006,111.006,111.006,111.006
2019-02-27 21:13:00,1,111.008,111.008,111.008,111.008
2019-02-27 21:14:00,3,111.006,111.006,111.004,111.006
2019-02-27 21:15:00,3,111.004,111.004,110.998,110.998
2019-02-27 21:16:00,3,111.001,111.001,110.999,111.001
2019-02-27 21:17:00,1,111.004,111.004,111.004,111.004
2019-02-27 21:19:00,4,111.006,111.012,111.006,111.010
2019-02-27 21:21:00,4,111.007,111.007,111.002,111.004
2019-02-27 21:23:00,1,111.002,111.002,111.002,111.002
2019-02-27 21:24:00,3,111.004,111.004,111.002,111.004
2019-02-27 21:25:00,3,111.008,111.008,111.005,111.008
2019-02-27 21:26:00,1,111.005,111.005,111.005,111.005
2019-02-27 21:27:00,1,111.007,111.007,111.007,111.007
2019-02-27 21:28:00,1,111.005,111.005,111.005,111.005
2019-02-27 21:29:00,4,111.007,111.014,111.007,111.014
2019-02-27 21:30:00,9,111.017,111.020,111.016,111.016
2019-02-27 21:31:00,18,111.019,111.034,111.019,111.032
2019-02-27 21:32:00,8,111.029,111.029,111.020,111.027
2019-02-27 21:33:00,6,111.030,111.032,111.028,111.028
2019-02-27 21:34:00,17,111.025,111.032,111.018,111.030
2019-02-27 21:35:00,15,111.027,111.032,111.024,111.032
2019-02-27 21:36:00,13,111.029,111.031,111.024,111.024
2019-02-27 21:37:00,5,111.022,111.024,111.020,111.022
2019-02-27 21:39:00,12,111.019,111.026,111.014,111.017
2019-02-27 21:40:00,6,111.014,111.014,111.006,111.006
2019-02-27 21:42:00,3,111.004,111.008,111.004,111.008
